File A,File B,Similarity
file_47.java,file_50.java,23.53
file_47.java,file_49.java,23.98
file_1.java,file_14.java,60.35
file_23.java,file_25.java,35.31
file_23.java,file_24.java,39.04
file_25.java,file_23.java,35.31
file_25.java,file_24.java,50.49
file_25.java,file_7.java,28.62
file_35.java,file_34.java,39.98
file_35.java,file_32.java,30.1
file_35.java,file_33.java,46.34
file_35.java,file_37.java,37.21
file_35.java,file_36.java,68.9
file_24.java,file_23.java,39.04
file_24.java,file_25.java,50.49
file_24.java,file_7.java,22.95
file_2.java,file_3.java,70.84
file_3.java,file_2.java,70.84
file_31.java,file_42.java,23.04
file_50.java,file_47.java,23.53
file_34.java,file_35.java,39.98
file_34.java,file_32.java,48.99
file_34.java,file_33.java,85.19
file_34.java,file_36.java,37.0
file_22.java,file_10.java,26.97
file_26.java,file_7.java,21.26
file_49.java,file_47.java,23.98
file_16.java,file_15.java,71.89
file_32.java,file_35.java,30.1
file_32.java,file_34.java,48.99
file_32.java,file_33.java,56.71
file_32.java,file_37.java,20.27
file_33.java,file_35.java,46.34
file_33.java,file_34.java,85.19
file_33.java,file_32.java,56.71
file_33.java,file_37.java,25.02
file_33.java,file_36.java,43.28
file_37.java,file_35.java,37.21
file_37.java,file_32.java,20.27
file_37.java,file_33.java,25.02
file_37.java,file_36.java,46.37
file_14.java,file_1.java,60.35
file_36.java,file_35.java,68.9
file_36.java,file_34.java,37.0
file_36.java,file_33.java,43.28
file_36.java,file_37.java,46.37
file_10.java,file_22.java,26.97
file_42.java,file_31.java,23.04
file_15.java,file_16.java,71.89
file_7.java,file_25.java,28.62
file_7.java,file_24.java,22.95
file_7.java,file_26.java,21.26
