File A,File B,Similarity
file_2.java,file_3.java,70.87
file_1.java,file_14.java,60.27
file_22.java,file_10.java,26.82
file_25.java,file_23.java,35.27
file_25.java,file_24.java,50.36
file_25.java,file_7.java,28.39
file_15.java,file_16.java,71.83
file_34.java,file_33.java,85.11
file_34.java,file_36.java,36.83
file_34.java,file_35.java,39.81
file_34.java,file_32.java,48.83
file_49.java,file_47.java,25.05
file_14.java,file_1.java,60.27
file_3.java,file_2.java,70.87
file_33.java,file_34.java,85.11
file_33.java,file_36.java,43.12
file_33.java,file_35.java,46.18
file_33.java,file_32.java,56.58
file_33.java,file_37.java,24.85
file_36.java,file_34.java,36.83
file_36.java,file_33.java,43.12
file_36.java,file_35.java,68.81
file_36.java,file_37.java,46.23
file_26.java,file_7.java,21.04
file_35.java,file_34.java,39.81
file_35.java,file_33.java,46.18
file_35.java,file_36.java,68.81
file_35.java,file_32.java,29.91
file_35.java,file_37.java,37.02
file_23.java,file_25.java,35.27
file_23.java,file_24.java,38.98
file_32.java,file_34.java,48.83
file_32.java,file_33.java,56.58
file_32.java,file_35.java,29.91
file_32.java,file_37.java,20.08
file_24.java,file_25.java,50.36
file_24.java,file_23.java,38.98
file_24.java,file_7.java,22.89
file_37.java,file_33.java,24.85
file_37.java,file_36.java,46.23
file_37.java,file_35.java,37.02
file_37.java,file_32.java,20.08
file_16.java,file_15.java,71.83
file_31.java,file_42.java,22.97
file_10.java,file_22.java,26.82
file_42.java,file_31.java,22.97
file_47.java,file_49.java,25.05
file_7.java,file_25.java,28.39
file_7.java,file_26.java,21.04
file_7.java,file_24.java,22.89
